
time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,Bx,By,Bz,Azimuth,Pitch,Roll,Gain,Latitude,Longitude,Speed (m/s),Altitude (m),
10.126193,-0.0468,0.0900,1.0070,0.0212,-0.0432,0.0563,0.0001,-0.0154,0.1786,-18.8625,-2.7375,41.2500,141.2070,-5.4439,-3.0282,85.7390,33.41445142,-111.92187883,0.00000000,333.50451660,
10.226163,-0.0473,0.0748,0.9908,0.0278,-0.2462,-0.0576,0.0012,-0.0037,0.1754,-19.3125,-2.6438,41.5125,139.7910,-5.3840,-2.8087,85.7390,33.41445142,-111.92187883,0.00000000,333.50451660,
10.332062,-0.0234,0.0602,0.9845,0.1912,-0.2361,0.1715,-0.0009,-0.0027,0.1700,-18.8813,-3.2438,41.5875,138.2166,-5.2777,-2.6218,85.7390,33.41445142,-111.92187883,0.00000000,333.50451660,
10.437198,-0.0283,0.0567,1.0241,0.0629,-0.3128,-0.0853,-0.0063,-0.0101,0.1583,-18.0375,-2.6813,43.1063,136.4319,-5.0725,-2.3577,87.0047,33.41445142,-111.92187883,0.00000000,333.50451660,
10.536827,-0.0175,0.0714,1.0060,0.3641,-0.2283,0.1606,0.0055,0.0005,0.1392,-17.6813,-1.1250,40.6500,134.7849,-4.8836,-2.1291,87.0047,33.41445142,-111.92187883,0.00000000,333.50451660,
10.639279,-0.0107,0.0699,1.0177,0.0990,-0.2154,-0.2992,0.0055,-0.0186,0.1146,-16.3688,-1.6125,39.5813,132.9626,-4.7254,-1.7345,87.0047,33.41445142,-111.92187883,0.00000000,336.56054688,
10.738874,0.0128,0.0479,1.0138,0.2692,-0.2676,-0.3767,0.0087,-0.0101,0.0997,-16.0500,-1.9688,42.1688,131.3072,-4.5219,-1.4145,86.4988,33.41447582,-111.92182526,1.96000004,336.56054688,
10.845948,0.0235,0.0494,0.9816,0.5079,-0.3091,0.1700,0.0065,-0.0165,0.0731,-16.7625,-1.1625,42.9375,129.0984,-4.2577,-0.8349,86.4988,33.41447582,-111.92182526,1.96000004,336.56054688,
10.946312,0.0128,0.0133,0.9796,0.3082,-0.4188,0.0115,-0.0148,-0.0048,0.0369,-14.5688,-1.7250,42.7500,127.1105,-3.8296,-0.3817,86.4988,33.41447582,-111.92182526,1.96000004,336.56054688,
11.046587,0.0435,0.0269,1.0314,0.4621,-0.5146,0.0400,-0.0148,-0.0346,0.0113,-13.1813,-2.4563,46.5000,125.5121,-3.4111,0.0553,88.5891,33.41447582,-111.92182526,1.96000004,336.56054688,
11.149057,0.0802,0.0162,1.0094,0.4105,-0.3377,-0.0356,0.0012,-0.0176,-0.0196,-15.2063,-0.7875,43.8938,124.0753,-3.1064,0.5993,88.5891,33.41447582,-111.92182526,1.96000004,336.56054688,
11.249921,0.0655,0.0040,1.0148,0.6346,-0.2832,-0.0607,0.0225,0.0037,-0.0569,-15.8438,-2.0625,44.8688,122.4637,-2.8369,1.1852,88.5891,33.41447582,-111.92182526,1.96000004,336.56054688,
